text,url
EU,https://en.wikipedia.org/wiki/European_Union
research networks,https://en.wikipedia.org/wiki/Research_network
Horizon 2020,https://en.wikipedia.org/wiki/Horizon_2020
Horizon Europe,https://en.wikipedia.org/wiki/Horizon_Europe
