url,temp_downloaded,user_decision,temp_path,final_path
https://images.unsplash.com/photo-1717240583820-286793ad07ca?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDIzfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_19.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_20.jpg
https://images.unsplash.com/photo-1627570172985-b8ae87896fa5?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTM2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_20.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_21.jpg
https://images.unsplash.com/photo-1523981729822-80f25e681301?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjU1fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_21.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_22.jpg
https://images.unsplash.com/photo-1591354565616-16e9337d2d61?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTEwfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_22.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_23.jpg
https://images.unsplash.com/profile-1701524723769-129b29d809a1image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.0.3,discarded,auto_skipped,,
https://images.unsplash.com/photo-1534759445199-f2ad3d6fd55b?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTk0fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_24.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_25.jpg
https://images.unsplash.com/photo-1577124091472-763543f27418?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDkwfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_25.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_26.jpg
https://images.unsplash.com/profile-1526646031587-b68240f7b4ab?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1509602742943-0bf62bd36166?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mjk1fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_27.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_28.jpg
https://images.unsplash.com/photo-1441307811206-a12c74889338?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjA3fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_28.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_29.jpg
